Date,Open,High,Low,Close,Volume,Normalized_Open,Normalized_High,Normalized_Low,Normalized_Close,Normalized_Volume,Target price,Diff_Target_AND_Close_Percent,Label
8/3/2000,1355.619995,1373.790039,1346.619995,1366.699951,1203000000,-35.660034,-25.419922,-3.369995,11.079956,-111100000,1401.689941,2.560180819,3
9/3/2000,1366.699951,1401.819946,1357.880005,1401.689941,1123000000,11.079956,28.029907,11.26001,34.98999,-80000000,1395.069946,-0.472286688,1
10/3/2000,1401.689941,1413.459961,1392.069946,1395.069946,1138800000,34.98999,11.640015,34.189941,-6.619995,15800000,1383.619995,-0.820743865,1
13-03-00,1395.069946,1398.390015,1364.839966,1383.619995,1016100000,-6.619995,-15.069946,-27.22998,-11.449951,-122700000,1359.150024,-1.768547079,0
14-03-00,1383.619995,1395.150024,1359.150024,1359.150024,1094000000,-11.449951,-3.239991,-5.689942,-24.469971,77900000,1392.140015,2.427251622,3
15-03-00,1359.150024,1397.98999,1356.98999,1392.140015,1302800000,-24.469971,2.839966,-2.160034,32.989991,208800000,1458.469971,4.764603796,3
16-03-00,1392.150024,1458.469971,1392.150024,1458.469971,1482300000,33,60.479981,35.160034,66.329956,179500000,1464.469971,0.411390026,2
17-03-00,1458.469971,1477.329956,1453.319946,1464.469971,1295100000,66.319947,18.859985,61.169922,6,-187200000,1456.630005,-0.535344948,1
20-03-00,1464.469971,1470.300049,1448.48999,1456.630005,920800000,6,-7.029907,-4.829956,-7.839966,-374300000,1493.869995,2.556585397,3
21-03-00,1456.630005,1493.920044,1446.060059,1493.869995,1065900000,-7.839966,23.619995,-2.429931,37.23999,145100000,1500.640015,0.453186691,2
22-03-00,1493.869995,1505.079956,1487.329956,1500.640015,1075000000,37.23999,11.159912,41.269897,6.77002,9100000,1527.349976,1.779904623,3
23-03-00,1500.640015,1532.5,1492.390015,1527.349976,1078300000,6.77002,27.420044,5.060059,26.709961,3300000,1527.459961,0.007201035,2
24-03-00,1527.349976,1552.869995,1516.829956,1527.459961,1052200000,26.709961,20.369995,24.439941,0.109985,-26100000,1523.859985,-0.235683821,1
27-03-00,1527.459961,1534.630005,1518.459961,1523.859985,901000000,0.109985,-18.23999,1.630005,-3.599976,-151200000,1507.72998,-1.058496526,0
28-03-00,1523.859985,1527.359985,1507.089966,1507.72998,959100000,-3.599976,-7.27002,-11.369995,-16.130005,58100000,1508.52002,0.052399303,2
29-03-00,1507.72998,1521.449951,1497.449951,1508.52002,1061900000,-16.130005,-5.910034,-9.640015,0.79004,102800000,1487.920044,-1.365575248,0
30-03-00,1508.52002,1517.380005,1474.630005,1487.920044,1193400000,0.79004,-4.069946,-22.819946,-20.599976,131500000,1498.579956,0.716430432,2
31-03-00,1487.920044,1519.810059,1484.380005,1498.579956,1227400000,-20.599976,2.430054,9.75,10.659912,34000000,1505.969971,0.493134515,2
3/4/2000,1498.579956,1507.189941,1486.959961,1505.969971,1021700000,10.659912,-12.620118,2.579956,7.390015,-205700000,1494.72998,-0.746362226,1
4/4/2000,1505.97998,1526.449951,1416.410034,1494.72998,1515460000,7.400024,19.26001,-70.549927,-11.239991,493760000,1487.369995,-0.492395623,1
5/4/2000,1494.72998,1506.550049,1478.050049,1487.369995,1110300000,-11.25,-19.899902,61.640015,-7.359985,-405160000,1501.339966,0.939239802,2
6/4/2000,1487.369995,1511.76001,1487.369995,1501.339966,1008000000,-7.359985,5.209961,9.319946,13.969971,-102300000,1516.349976,0.999774224,2
7/4/2000,1501.339966,1518.680054,1501.339966,1516.349976,891600000,13.969971,6.920044,13.969971,15.01001,-116400000,1504.459961,-0.784120763,1
10/4/2000,1516.349976,1527.189941,1503.349976,1504.459961,853700000,15.01001,8.509887,2.01001,-11.890015,-37900000,1500.589966,-0.257234828,1
